,Group,score,dist_to_centroid_0,dist_to_centroid_1,dist_to_centroid_2,x,y,2,3,4,5
0,1,0.9247858204830383,736.9116226636654,203.20111307098819,2792.47510082975,-626.6958010728034,-0.6180699326457109,0.4253249405043924,0.03339587820165758,-0.07143259766923979,-0.0018819123173984932
1,1,0.4994970983122714,473.8742327750318,466.23970678769865,2529.4397519709864,-363.6589453076064,0.38796411768951444,0.09404427304004837,-0.09166334403888296,-0.058440700404939275,0.01810300915237213
2,1,0.7536248804621325,603.5704066971527,336.5425602483054,2659.1345770720923,-493.3547375222767,-0.3172176910578446,0.4594631999407268,-0.08759236667292564,-0.13436768590287143,0.07547827966584866
3,1,0.655583490148178,550.0370398423662,390.07915467724507,2605.6028546332795,-439.82142948842494,0.7865668171392917,0.21025154507791122,0.045396472387864276,-0.12792490817928553,0.02594030835765505
4,1,0.7858837200921447,623.2560901308808,316.8581739250029,2678.8172237240337,-513.0387170686888,-1.4047879496509652,0.30350922880087383,-0.04652795414681782,0.001855801647810875,0.0008182277729585868
5,1,0.5768584580760288,510.93765639260624,429.17670823572786,2566.4986783302247,-400.7200699856522,-1.3309342198026821,0.22938354494325153,-0.10656670241225774,-0.051953471087316565,0.025139502621965095
6,1,0.7358948435345831,593.285588748594,346.8288966836135,2648.8464988782885,-483.06800160755955,-1.4406731396442831,0.3166313801458065,0.013266922731938656,-0.016570698269060612,-0.006703375710643923
7,1,0.5440941188753743,495.1601707963703,444.9524381659234,2550.7242095805277,-384.94456189675,-0.38717738366548304,0.16123741651847268,0.009127767074229007,0.05699760438186617,-0.002103555571715787
8,1,0.8338523500514461,655.6464976731302,284.46627385302935,2711.2104901647363,-545.43089029305,-0.3917710787154091,0.3589943256323018,0.04134711680354752,-0.007853696960986789,-0.005225826901496047
9,2,0.7230897043463603,1340.5139110603977,2280.6210498440164,715.1620056104323,1450.7069602872032,7.664610862524935,-1.9512808018425511,-0.11606279947521825,0.08374685399611469,-0.004709427995714457
10,0,0.9640534942558696,144.48673577099797,795.6931379399795,2199.986775331388,-34.20945041098014,-4.037432375066623,-0.046483200558547794,-0.030172692026885165,0.05104329746297175,0.002382448751815477
11,0,0.9552728822050434,211.33928697795545,1151.4120888081338,1844.2665223580289,321.51099589966987,-3.9431955538787458,-0.29730798715443063,-0.08261324493626543,1.0821551133546226,0.0013010014434199813
12,0,0.9270993226278623,282.21222980303736,1222.3067989338117,1773.3691595489115,392.40818407430675,-3.0829668352956903,-0.36606948051333354,-0.03551034873685906,0.09813651480713784,0.003016016335047536
13,0,0.9837268765994538,119.54977319418153,1059.6059550684356,1936.0711928083463,229.70602781984584,-3.5460894924435085,-0.32200956550441306,-0.092692638164573,0.01540882887433995,-0.004980889702573266
