timestamp,output,Sensor A,Sensor B,LN08FEEDGFGENACT_VAL0,LN08FEEDGFFEEDER1INTOTAL_VAL0,LN08EXTZ10TC_VAL0,LN08FEEDGFFEEDER4INW_VAL0,LN08FEEDGFFEEDER6INSPD_VAL0,LN08GALADATAINI_I_TRO_VAL0,LN08FEEDGFFEEDER3INW_VAL0,LN08FEEDGFFEEDER5OUTDSP_VAL0,LN08FEEDGFFEEDER5OUTMAX_VAL0,LN08GALADATAINI_P_03_VAL0
2022/11/09 12:05:00,80.45516086038604,Operator C,Operator C,550.0261230000001,7329.005370999999,138.0,7.824679375,52.15164185,55.89940643,6.273791312999999,0.5,59.0,46.31176376
2022/11/09 12:04:30,80.24767693785651,Operator C,Operator C,550.0460205,7326.375488,142.0,8.102905273,53.05501556,56.01538467,6.487124443,0.5,59.0,45.721267700000006
2022/11/09 12:04:00,80.07451647949325,Operator C,Operator C,549.9936522999999,7324.084473000001,146.0,5.119423866,52.63995361,56.02148819,6.685881615,0.5,59.0,45.29948425
2022/11/09 12:03:30,79.9194083025754,Operator C,Operator C,550.0307617000001,7321.79541,147.0,5.404452324,44.82698059,55.62473679,6.896098137,0.5,59.0,45.46819687
2022/11/09 12:03:00,79.01823735980065,Operator C,Operator C,549.9906006,7319.194823999999,147.0,5.680862427,42.75164795,55.60031509,7.115492821,0.5,59.0,45.29948425
2022/11/09 12:02:30,80.29435152728328,Operator C,Operator C,549.8400879,7316.594238,145.0,5.948857307000001,42.36100769,55.740707400000005,7.273002625,0.5,59.0,44.87770081
2022/11/09 12:02:00,79.97401844279008,Operator C,Operator C,550.0462646000001,7314.285645,142.0,6.233031273,41.48204803,55.61863327,5.479022026,0.5,59.0,45.46819687
2022/11/09 12:01:30,79.64981740438789,Operator C,Operator C,550.0015869,7311.695801000001,139.0,6.506685257000001,41.06697845,55.740707400000005,5.680956841,0.5,59.0,45.46819687
2022/11/09 12:01:00,79.13752868260715,Operator C,Operator C,550.0167236000001,7309.377441,137.0,6.781027794,40.92049408,55.62473679,5.896418571,0.5,59.0,44.45591736
2022/11/09 12:00:30,79.98621176297118,Operator C,Operator C,550.09021,7306.736816,136.0,7.058333397,40.48101044,56.03369522,6.10934639,0.5,59.0,45.88998032
2022/11/09 12:00:00,80.43171026044388,Operator C,Operator C,549.9838867000001,7304.467285,135.0,7.33778286,40.57866669,55.75901794,6.321866035,0.5,59.0,46.31176376
2022/11/09 11:59:30,79.33238049428796,Operator C,Operator C,550.2958984,7302.175293000001,137.0,7.599699974,41.23789215,56.27784729,6.526106834,0.5,59.0,45.721267700000006
2022/11/09 11:59:00,80.91808325089397,Operator C,Operator C,550.1660156,7299.54541,139.0,7.878714561000001,41.31114960000001,56.01538467,6.736991882000001,0.5,59.0,46.31176376
2022/11/09 11:58:30,80.08957772764319,Operator C,Operator C,550.0247803,7296.967285,143.0,5.13173008,42.53191376,55.88109589,6.9559183120000005,0.5,59.0,46.90225983
2022/11/09 11:58:00,79.53602275295593,Operator C,Operator C,550.043457,7294.67627,146.0,5.400741577000001,42.16567993,55.61863327,7.1546678539999995,0.5,59.0,46.31176376
2022/11/09 11:57:30,79.61862845697371,Operator C,Operator C,549.6206055,7292.387206999999,148.0,5.6807870860000005,42.75164795,55.88109589,7.26570034,0.5,59.0,45.721267700000006
2022/11/09 11:57:00,80.62481324846583,Operator C,Operator C,550.0418701,7289.76709,148.0,5.945374489,42.16567993,56.02759171,5.507857323,0.5,59.0,44.70898819
2022/11/09 11:56:30,79.444049836737,Operator C,Operator C,549.9973144999999,7287.463379000001,146.0,6.2281217579999995,42.01918793,55.62473679,5.719890594,0.5,59.0,45.04641342
2022/11/09 11:56:00,78.76516793244825,Operator C,Operator C,549.9426269999999,7284.845215,143.0,6.497263908,41.89710999,56.15576935,5.931210517999999,0.5,59.0,45.29948425
2022/11/09 11:55:30,79.46657760818603,Operator C,Operator C,550.0913086,7282.54541,141.0,6.781074524,41.97035217,55.630840299999996,6.136321067999999,0.5,59.0,45.721267700000006
2022/11/09 11:55:00,78.84043875081693,Operator C,Operator C,550.2995605000001,7279.967285,138.0,7.0619974139999995,42.58074188,56.02148819,6.34899807,0.5,59.0,45.721267700000006
2022/11/09 11:54:30,81.09811399849659,Operator C,Operator C,550.0186767999999,7277.32666,136.0,7.324643135,42.06801605,55.35616302,6.5570716860000005,0.5,59.0,45.46819687
2022/11/09 11:54:00,79.11731200313189,Operator C,Operator C,550.1212158,7275.025879000001,135.0,7.607710837999999,42.77606964,55.88109589,6.77435112,0.5,59.0,45.46819687
2022/11/09 11:53:30,80.56017647907422,Operator C,Operator C,550.6066894999999,7272.415526999999,135.0,7.872550011,42.72723389,56.30226898,6.986824989,0.5,59.0,45.721267700000006
2022/11/09 11:53:00,79.37356791630192,Operator C,Operator C,549.9675292999999,7270.13623,138.0,8.157278061,44.04567719,55.75291443,7.1903791429999995,0.5,59.0,46.90225983
