,340_VFD_010\Current,355_ZI_040,815_PT_110A,BE_Machine_Speed_FB,SQ_Per_Hour_Shift2,ST325M030\SpeedFB,ST330M010\SpeedFB,ST340M022\AI3,VFD165_OL_Trim,VFD165_SW_Current
5438,45.8984,74.0,95.448,705.1389999999999,630.763,95.0317,563.904,189.282,-2.34574,44.0506
5439,45.9961,74.0,95.0829,705.2610000000001,633.91,94.6045,563.904,182.104,-2.39335,44.1083
5440,45.9961,75.0,97.1871,705.2610000000001,633.91,94.9707,563.965,184.521,-1.7397799999999999,43.9896
5441,45.8984,67.0,95.287,505.31,629.5,84.5947,454.59,177.979,0.0,0.0
5442,45.9961,60.0,95.4048,505.31,629.5,84.8999,454.407,197.266,0.0,0.0
5443,45.9961,53.0,94.8827,504.944,632.198,84.9609,454.407,181.787,0.0,0.0
5444,45.9961,46.0,95.4087,505.49300000000005,632.198,85.022,454.407,186.84099999999998,0.0,0.0
5445,45.8008,39.0,95.7464,505.12699999999995,634.8580000000001,84.8999,454.407,182.61700000000002,0.0,0.0
5446,46.0938,32.0,96.0369,504.944,634.8580000000001,84.9609,454.407,173.169,0.0,0.0
5447,45.9961,26.0,96.4098,305.176,630.5319999999999,203.857,292.053,165.625,8.8675,44.11600000000001
5448,35.5469,24.0,72.8941,49.9878,630.5319999999999,22.8882,0.0,128.882,-29.0336,44.5446
5449,0.0,24.0,73.7499,49.9878,626.263,22.8882,0.0,230.42,0.0,0.0
5450,0.0,23.0,73.4555,50.0488,626.263,22.8882,0.0,216.99200000000002,0.0,0.0
5451,0.0,23.0,73.7067,50.1709,622.053,22.8882,0.0,114.111,-14.091,44.5406
5452,0.0,23.0,73.1022,50.0488,622.053,22.8882,0.0,181.738,0.0,0.0
5453,0.0,22.0,73.5262,49.9878,617.898,22.8882,0.0,252.905,-9.23659,44.5256
5454,0.0,24.0,73.5419,50.1099,617.898,22.8882,0.0,114.45299999999999,-2.9479,43.6676
5455,0.0,30.0,73.4673,50.1099,613.799,22.8882,0.0,121.92399999999999,-2.17866,44.0222
5456,0.0,40.0,122.104,120.605,613.799,39.6729,17.6392,264.893,-1.33901,44.1656
5457,46.3867,48.0,99.89200000000001,305.115,609.753,204.956,291.199,196.68,-1.31911,44.3533
5458,46.0938,54.0,96.398,505.49300000000005,609.753,84.8999,454.468,188.30599999999998,-2.10601,42.6949
5459,46.1914,60.0,96.4412,505.249,605.761,84.8999,454.407,196.924,-1.4552100000000001,42.6441
5460,46.0938,64.0,95.4794,505.066,605.761,84.9609,454.407,187.207,-1.4675200000000002,42.6574
5461,46.1914,67.0,95.7974,505.31,608.846,84.6558,454.407,170.55700000000002,-1.8058299999999998,42.4728
5462,45.9961,71.0,95.7621,505.12699999999995,608.846,84.9609,454.407,178.442,-2.58605,42.7061
5463,46.0938,74.0,96.0094,505.615,611.503,85.022,454.407,196.045,-2.64194,42.4417
5464,45.9961,78.0,97.2813,504.82199999999995,611.503,85.022,454.407,173.68200000000002,-2.56927,42.4708
5465,46.0938,80.0,95.3381,505.371,614.125,84.7778,454.407,202.368,-6.21809,43.5664
5466,45.9961,77.0,95.448,505.18800000000005,614.125,84.8999,454.407,190.25900000000001,-4.8266599999999995,43.7009
5467,46.0938,75.0,96.0369,504.76099999999997,610.207,84.9609,454.407,173.218,-4.649859999999999,43.6472
5468,46.0938,68.0,96.0329,504.82199999999995,610.207,84.9609,454.407,191.26,0.0,0.0
