,RIGHT PROXIMAL,RIGHT MIDDLE,RIGHT DISTAL,LEFT PROXIMAL,LEFT MIDDLE,LEFT DISTAL,MINIMUM  GAP1,t2,WO,Code,Component Part Number,Component Description,t1,Date_data,Quantity,Part,Process,Shift,Date_data_data,Time,SERIAL NUMBER,RIGHT PROXIMAL_data,RIGHT MIDDLE_data,RIGHT DISTAL_data,LEFT PROXIMAL_data,LEFT MIDDLE_data,LEFT DISTAL_data
3410,4.8,3.8,2.8,3.8,3.8,4.4,2.8,V9635M,1475230.0,D39496G09                ,D49835G02                ,GLUED JAW ASSY CURVED         ,V9641P,11/5/2021,538.96,D49835,LINEA 163,PRIMER TURNO,2021-11-04,22:54:08,329771.0,3.1709,4.0931,3.0304,2.1567,3.7791,2.7538
3411,4.8,3.8,2.8,3.8,3.8,4.4,2.8,V9635M,1475230.0,D39496G09                ,D49835G02                ,GLUED JAW ASSY CURVED         ,V9641P,11/5/2021,538.96,D49835,LINEA 163,PRIMER TURNO,2021-11-04,22:53:47,329770.0,3.3444,4.0213,2.9927,2.2224,3.9204,2.6475
3412,4.8,3.8,2.8,3.8,3.8,4.4,2.8,V9635M,1475230.0,D39496G09                ,D49835G02                ,GLUED JAW ASSY CURVED         ,V9641P,11/5/2021,538.96,D49835,LINEA 163,PRIMER TURNO,2021-11-04,22:53:26,329769.0,3.0922,3.829,3.1447,2.336,4.0608,3.0075
3413,4.8,3.8,2.8,3.8,3.8,4.4,2.8,V9635M,1475230.0,D39496G09                ,D49835G02                ,GLUED JAW ASSY CURVED         ,V9641P,11/5/2021,538.96,D49835,LINEA 163,PRIMER TURNO,2021-11-04,22:53:09,329768.0,2.9676,3.6131,2.5652,2.3396,3.81,2.8205
3414,4.8,3.8,2.8,3.8,3.8,4.4,2.8,V9635M,1475230.0,D39496G09                ,D49835G02                ,GLUED JAW ASSY CURVED         ,V9641P,11/5/2021,538.96,D49835,LINEA 163,PRIMER TURNO,2021-11-04,22:52:53,329767.0,2.9161,3.6999,2.6361,1.9182,3.3367,2.3625
3415,4.8,3.8,2.8,3.8,3.8,4.4,2.8,V9635M,1475230.0,D39496G09                ,D49835G02                ,GLUED JAW ASSY CURVED         ,V9641P,11/5/2021,538.96,D49835,LINEA 163,PRIMER TURNO,2021-11-04,22:52:37,329766.0,3.0225,3.6864,2.6262,2.1427,3.8718,2.8533
3416,4.8,3.8,2.8,3.8,3.8,4.4,2.8,V9635M,1475230.0,D39496G09                ,D49835G02                ,GLUED JAW ASSY CURVED         ,V9641P,11/5/2021,538.96,D49835,LINEA 163,PRIMER TURNO,2021-11-04,22:52:21,329765.0,3.1164,3.7444,3.0686,2.4706,3.8692,2.774
3417,4.8,3.8,2.8,3.8,3.8,4.4,2.8,V9635M,1475230.0,D39496G09                ,D49835G02                ,GLUED JAW ASSY CURVED         ,V9641P,11/5/2021,538.96,D49835,LINEA 163,PRIMER TURNO,2021-11-04,22:52:06,329764.0,2.6726,3.9961,2.9313,2.4791,3.886,3.1122
3418,4.8,3.8,2.8,3.8,3.8,4.4,2.8,V9635M,1475230.0,D39496G09                ,D49835G02                ,GLUED JAW ASSY CURVED         ,V9641P,11/5/2021,538.96,D49835,LINEA 163,PRIMER TURNO,2021-11-04,22:51:50,329763.0,3.0115,3.7271,2.7327,2.6377,3.5894,2.7703
3419,4.8,3.8,2.8,3.8,3.8,4.4,2.8,V9635M,1475230.0,D39496G09                ,D49835G02                ,GLUED JAW ASSY CURVED         ,V9641P,11/5/2021,538.96,D49835,LINEA 163,PRIMER TURNO,2021-11-04,22:51:35,329762.0,3.002,3.7457,3.2972,2.1089,3.8619,2.7681
3420,4.8,3.8,2.8,3.8,3.8,4.4,2.8,V9635M,1475230.0,D39496G09                ,D49835G02                ,GLUED JAW ASSY CURVED         ,V9641P,11/5/2021,538.96,D49835,LINEA 163,PRIMER TURNO,2021-11-04,22:51:17,329761.0,2.578,3.4186,3.1491,2.0766,3.5522,2.7157
3421,4.8,3.8,2.8,3.8,3.8,4.4,2.8,V9635M,1475230.0,D39496G09                ,D49835G02                ,GLUED JAW ASSY CURVED         ,V9641P,11/5/2021,538.96,D49835,LINEA 163,PRIMER TURNO,2021-11-04,22:51:01,329760.0,2.9892,3.8191,3.1423,2.2663,3.5255,2.5219
3422,4.8,3.8,2.8,3.8,3.8,4.4,2.8,V9635M,1475230.0,D39496G09                ,D49835G02                ,GLUED JAW ASSY CURVED         ,V9641P,11/5/2021,538.96,D49835,LINEA 163,PRIMER TURNO,2021-11-04,22:50:44,329759.0,3.1695,3.921,2.8299,2.6221,3.8019,2.605
3423,4.8,3.8,2.8,3.8,3.8,4.4,2.8,V9635M,1475230.0,D39496G09                ,D49835G02                ,GLUED JAW ASSY CURVED         ,V9641P,11/5/2021,538.96,D49835,LINEA 163,PRIMER TURNO,2021-11-04,22:50:27,329758.0,3.2035,3.8813,2.9077,2.6997,3.4364,2.5495
3424,4.8,3.8,2.8,3.8,3.8,4.4,2.8,V9635M,1475230.0,D39496G09                ,D49835G02                ,GLUED JAW ASSY CURVED         ,V9641P,11/5/2021,538.96,D49835,LINEA 163,PRIMER TURNO,2021-11-04,22:50:08,329757.0,3.2967,3.9248,2.8045,2.7058,3.6652,2.6098
3425,4.8,3.8,2.8,3.8,3.8,4.4,2.8,V9635M,1475230.0,D39496G09                ,D49835G02                ,GLUED JAW ASSY CURVED         ,V9641P,11/5/2021,538.96,D49835,LINEA 163,PRIMER TURNO,2021-11-04,22:49:52,329756.0,3.0403,3.6702,3.0234,1.9834,3.4389,2.6584
3426,4.8,3.8,2.8,3.8,3.8,4.4,2.8,V9635M,1475230.0,D39496G09                ,D49835G02                ,GLUED JAW ASSY CURVED         ,V9641P,11/5/2021,538.96,D49835,LINEA 163,PRIMER TURNO,2021-11-04,22:49:37,329755.0,2.9464,3.7126,2.8233,2.2114,3.623,2.5846
3427,4.8,3.8,2.8,3.8,3.8,4.4,2.8,V9635M,1475230.0,D39496G09                ,D49835G02                ,GLUED JAW ASSY CURVED         ,V9641P,11/5/2021,538.96,D49835,LINEA 163,PRIMER TURNO,2021-11-04,22:49:18,329754.0,2.6941,3.6685,2.6719,2.5097,3.6436,2.9468
3428,4.8,3.8,2.8,3.8,3.8,4.4,2.8,V9635M,1475230.0,D39496G09                ,D49835G02                ,GLUED JAW ASSY CURVED         ,V9641P,11/5/2021,538.96,D49835,LINEA 163,PRIMER TURNO,2021-11-04,22:49:00,329753.0,2.7133,3.7241,2.866,2.114,3.3991,2.5875
3429,4.8,3.8,2.8,3.8,3.8,4.4,2.8,V9635M,1475230.0,D39496G09                ,D49835G02                ,GLUED JAW ASSY CURVED         ,V9641P,11/5/2021,538.96,D49835,LINEA 163,PRIMER TURNO,2021-11-04,22:48:44,329752.0,2.4515,3.4586,2.4148,1.6986,3.0024,2.0447
3430,4.8,3.8,2.8,3.8,3.8,4.4,2.8,V9635M,1475230.0,D39496G09                ,D49835G02                ,GLUED JAW ASSY CURVED         ,V9641P,11/5/2021,538.96,D49835,LINEA 163,PRIMER TURNO,2021-11-04,22:48:27,329751.0,2.9038,3.8294,2.6727,2.3913,3.3521,2.6509
3431,4.8,3.8,2.8,3.8,3.8,4.4,2.8,V9635M,1475230.0,D39496G09                ,D49835G02                ,GLUED JAW ASSY CURVED         ,V9641P,11/5/2021,538.96,D49835,LINEA 163,PRIMER TURNO,2021-11-04,22:48:11,329750.0,2.9246,4.179,2.8861,2.3993,3.9384,2.8079
3432,4.8,3.8,2.8,3.8,3.8,4.4,2.8,V9635M,1475230.0,D39496G09                ,D49835G02                ,GLUED JAW ASSY CURVED         ,V9641P,11/5/2021,538.96,D49835,LINEA 163,PRIMER TURNO,2021-11-04,22:47:54,329749.0,2.7914,4.0682,3.2509,1.9989,3.5405,2.631
3433,4.8,3.8,2.8,3.8,3.8,4.4,2.8,V9635M,1475230.0,D39496G09                ,D49835G02                ,GLUED JAW ASSY CURVED         ,V9641P,11/5/2021,538.96,D49835,LINEA 163,PRIMER TURNO,2021-11-04,22:47:39,329748.0,3.075,4.2502,3.2262,2.4056,3.7071,2.7879
3434,4.8,3.8,2.8,3.8,3.8,4.4,2.8,V9635M,1475230.0,D39496G09                ,D49835G02                ,GLUED JAW ASSY CURVED         ,V9641P,11/5/2021,538.96,D49835,LINEA 163,PRIMER TURNO,2021-11-04,22:47:21,329747.0,2.4883,3.8435,2.5276,2.5162,3.8179,2.5793
3435,4.8,3.8,2.8,3.8,3.8,4.4,2.8,V9635M,1475230.0,D39496G09                ,D49835G02                ,GLUED JAW ASSY CURVED         ,V9641P,11/5/2021,538.96,D49835,LINEA 163,PRIMER TURNO,2021-11-04,22:47:04,329746.0,2.4305,3.7781,2.8018,1.921,3.3141,2.4376
3436,4.8,3.8,2.8,3.8,3.8,4.4,2.8,V9635M,1475230.0,D39496G09                ,D49835G02                ,GLUED JAW ASSY CURVED         ,V9641P,11/5/2021,538.96,D49835,LINEA 163,PRIMER TURNO,2021-11-04,22:46:48,329745.0,2.8271,3.8261,2.7869,2.3992,3.734,2.4749
3437,4.8,3.8,2.8,3.8,3.8,4.4,2.8,V9635M,1475230.0,D39496G09                ,D49835G02                ,GLUED JAW ASSY CURVED         ,V9641P,11/5/2021,538.96,D49835,LINEA 163,PRIMER TURNO,2021-11-04,22:46:31,329744.0,2.4061,3.7189,2.8365,2.1639,3.4715,2.728
3438,4.8,3.8,2.8,3.8,3.8,4.4,2.8,V9635M,1475230.0,D39496G09                ,D49835G02                ,GLUED JAW ASSY CURVED         ,V9641P,11/5/2021,538.96,D49835,LINEA 163,PRIMER TURNO,2021-11-04,22:45:54,329743.0,2.8459,4.0372,3.268,2.1079,3.4098,2.5392
3439,4.8,3.8,2.8,3.8,3.8,4.4,2.8,V9635M,1475230.0,D39496G09                ,D49835G02                ,GLUED JAW ASSY CURVED         ,V9641P,11/5/2021,538.96,D49835,LINEA 163,PRIMER TURNO,2021-11-04,22:45:37,329742.0,2.6287,4.6563,2.8028,2.4343,4.2205,3.0801
3440,4.8,3.8,2.8,3.8,3.8,4.4,2.8,V9635M,1475230.0,D39496G09                ,D49835G02                ,GLUED JAW ASSY CURVED         ,V9641P,11/5/2021,538.96,D49835,LINEA 163,PRIMER TURNO,2021-11-04,22:45:21,329741.0,2.8446,3.741,2.9347,2.1494,3.2269,2.8146
3441,4.8,3.8,2.8,3.8,3.8,4.4,2.8,V9635M,1475230.0,D39496G09                ,D49835G02                ,GLUED JAW ASSY CURVED         ,V9641P,11/5/2021,538.96,D49835,LINEA 163,PRIMER TURNO,2021-11-04,22:45:05,329740.0,2.8962,3.9924,2.8255,2.674,3.9909,3.2634
3442,4.8,3.8,2.8,3.8,3.8,4.4,2.8,V9635M,1475230.0,D39496G09                ,D49835G02                ,GLUED JAW ASSY CURVED         ,V9641P,11/5/2021,538.96,D49835,LINEA 163,PRIMER TURNO,2021-11-04,22:44:49,329739.0,2.8168,4.1066,2.9831,2.1007,3.3255,2.6379
3443,4.8,3.8,2.8,3.8,3.8,4.4,2.8,V9635M,1475230.0,D39496G09                ,D49835G02                ,GLUED JAW ASSY CURVED         ,V9641P,11/5/2021,538.96,D49835,LINEA 163,PRIMER TURNO,2021-11-04,22:44:33,329738.0,2.338,3.3082,2.8069,2.0907,3.16,2.5129
3444,4.8,3.8,2.8,3.8,3.8,4.4,2.8,V9635M,1475230.0,D39496G09                ,D49835G02                ,GLUED JAW ASSY CURVED         ,V9641P,11/5/2021,538.96,D49835,LINEA 163,PRIMER TURNO,2021-11-04,22:44:17,329737.0,2.6008,3.9706,3.1312,2.2831,3.4945,3.0647
3445,4.8,3.8,2.8,3.8,3.8,4.4,2.8,V9635M,1475230.0,D39496G09                ,D49835G02                ,GLUED JAW ASSY CURVED         ,V9641P,11/5/2021,538.96,D49835,LINEA 163,PRIMER TURNO,2021-11-04,22:44:00,329736.0,2.8364,4.2573,3.1361,2.3297,3.4043,5.3369
3446,4.8,3.8,2.8,3.8,3.8,4.4,2.8,V9635M,1475230.0,D39496G09                ,D49835G02                ,GLUED JAW ASSY CURVED         ,V9641P,11/5/2021,538.96,D49835,LINEA 163,PRIMER TURNO,2021-11-04,22:43:43,329735.0,2.7234,3.9892,2.9395,2.0805,3.4653,2.9742
3447,4.8,3.8,2.8,3.8,3.8,4.4,2.8,V9635M,1475230.0,D39496G09                ,D49835G02                ,GLUED JAW ASSY CURVED         ,V9641P,11/5/2021,538.96,D49835,LINEA 163,PRIMER TURNO,2021-11-04,22:43:26,329734.0,2.9029,4.0272,2.8771,2.0678,3.2297,2.7834
3448,4.8,3.8,2.8,3.8,3.8,4.4,2.8,V9635M,1475230.0,D39496G09                ,D49835G02                ,GLUED JAW ASSY CURVED         ,V9641P,11/5/2021,538.96,D49835,LINEA 163,PRIMER TURNO,2021-11-04,22:43:10,329733.0,2.5729,3.8505,3.0747,2.2419,3.5397,2.9667
3449,4.8,3.8,2.8,3.8,3.8,4.4,2.8,V9635M,1475230.0,D39496G09                ,D49835G02                ,GLUED JAW ASSY CURVED         ,V9641P,11/5/2021,538.96,D49835,LINEA 163,PRIMER TURNO,2021-11-04,22:42:55,329732.0,2.8952,3.8471,2.6586,1.8825,3.0307,2.2244
3450,4.8,3.8,2.8,3.8,3.8,4.4,2.8,V9635M,1475230.0,D39496G09                ,D49835G02                ,GLUED JAW ASSY CURVED         ,V9641P,11/5/2021,538.96,D49835,LINEA 163,PRIMER TURNO,2021-11-04,22:42:38,329731.0,2.714,4.0648,2.8558,2.1934,3.7219,2.9878
3451,4.8,3.8,2.8,3.8,3.8,4.4,2.8,V9635M,1475230.0,D39496G09                ,D49835G02                ,GLUED JAW ASSY CURVED         ,V9641P,11/5/2021,538.96,D49835,LINEA 163,PRIMER TURNO,2021-11-04,22:42:21,329730.0,2.945,4.1008,3.1006,2.3361,3.3422,2.5276
3452,4.8,3.8,2.8,3.8,3.8,4.4,2.8,V9635M,1475230.0,D39496G09                ,D49835G02                ,GLUED JAW ASSY CURVED         ,V9641P,11/5/2021,538.96,D49835,LINEA 163,PRIMER TURNO,2021-11-04,22:42:05,329729.0,2.8279,4.1558,3.3962,2.0472,3.4369,2.8357
3453,4.8,3.8,2.8,3.8,3.8,4.4,2.8,V9635M,1475230.0,D39496G09                ,D49835G02                ,GLUED JAW ASSY CURVED         ,V9641P,11/5/2021,538.96,D49835,LINEA 163,PRIMER TURNO,2021-11-04,22:41:47,329728.0,2.7267,4.075,3.2712,2.7036,3.5807,3.1981
3454,4.8,3.8,2.8,3.8,3.8,4.4,2.8,V9635M,1475230.0,D39496G09                ,D49835G02                ,GLUED JAW ASSY CURVED         ,V9641P,11/5/2021,538.96,D49835,LINEA 163,PRIMER TURNO,2021-11-04,22:41:33,329727.0,2.0598,4.2372,2.2523,2.4675,4.0683,2.663
3455,4.8,3.8,2.8,3.8,3.8,4.4,2.8,V9635M,1475230.0,D39496G09                ,D49835G02                ,GLUED JAW ASSY CURVED         ,V9641P,11/5/2021,538.96,D49835,LINEA 163,PRIMER TURNO,2021-11-04,22:41:16,329726.0,2.491,3.934,3.3213,1.9892,3.2262,2.9256
3456,4.8,3.8,2.8,3.8,3.8,4.4,2.8,V9635M,1475230.0,D39496G09                ,D49835G02                ,GLUED JAW ASSY CURVED         ,V9641P,11/5/2021,538.96,D49835,LINEA 163,PRIMER TURNO,2021-11-04,22:40:59,329725.0,2.5764,3.6461,2.6738,2.3073,3.8157,3.0361
3457,4.8,3.8,2.8,3.8,3.8,4.4,2.8,V9635M,1475230.0,D39496G09                ,D49835G02                ,GLUED JAW ASSY CURVED         ,V9641P,11/5/2021,538.96,D49835,LINEA 163,PRIMER TURNO,2021-11-04,22:40:43,329724.0,2.6528,3.7456,2.7669,1.9995,3.0646,2.8313
3458,4.8,3.8,2.8,3.8,3.8,4.4,2.8,V9635M,1475230.0,D39496G09                ,D49835G02                ,GLUED JAW ASSY CURVED         ,V9641P,11/5/2021,538.96,D49835,LINEA 163,PRIMER TURNO,2021-11-04,22:40:26,329723.0,2.4406,3.9587,2.8802,1.6919,2.9827,2.4463
3459,4.8,3.8,2.8,3.8,3.8,4.4,2.8,V9635M,1475230.0,D39496G09                ,D49835G02                ,GLUED JAW ASSY CURVED         ,V9641P,11/5/2021,538.96,D49835,LINEA 163,PRIMER TURNO,2021-11-04,22:40:05,329722.0,2.6948,3.9227,3.2542,2.5102,3.2122,2.9721
3460,4.8,3.8,2.8,3.8,3.8,4.4,2.8,V9635M,1475230.0,D39496G09                ,D49835G02                ,GLUED JAW ASSY CURVED         ,V9641P,11/5/2021,538.96,D49835,LINEA 163,PRIMER TURNO,2021-11-04,22:39:45,329721.0,2.9669,3.7519,3.0853,2.2814,3.1171,3.0194
3461,4.8,3.8,2.8,3.8,3.8,4.4,2.8,V9635M,1475230.0,D39496G09                ,D49835G02                ,GLUED JAW ASSY CURVED         ,V9641P,11/5/2021,538.96,D49835,LINEA 163,PRIMER TURNO,2021-11-04,22:39:30,329720.0,2.6455,3.6409,2.8571,2.3835,3.3759,2.8603
3462,4.8,3.8,2.8,3.8,3.8,4.4,2.8,V9635M,1475230.0,D39496G09                ,D49835G02                ,GLUED JAW ASSY CURVED         ,V9641P,11/5/2021,538.96,D49835,LINEA 163,PRIMER TURNO,2021-11-04,22:39:14,329719.0,2.9437,4.1888,2.7576,2.5398,3.619,3.0285
3463,4.8,3.8,2.8,3.8,3.8,4.4,2.8,V9635M,1475230.0,D39496G09                ,D49835G02                ,GLUED JAW ASSY CURVED         ,V9641P,11/5/2021,538.96,D49835,LINEA 163,PRIMER TURNO,2021-11-04,22:38:57,329718.0,2.4737,3.8897,2.7485,2.2306,3.5891,3.0767
3464,4.8,3.8,2.8,3.8,3.8,4.4,2.8,V9635M,1475230.0,D39496G09                ,D49835G02                ,GLUED JAW ASSY CURVED         ,V9641P,11/5/2021,538.96,D49835,LINEA 163,PRIMER TURNO,2021-11-04,22:38:42,329717.0,2.6768,4.0649,3.0871,2.1856,3.5057,3.1186
3465,4.8,3.8,2.8,3.8,3.8,4.4,2.8,V9635M,1475230.0,D39496G09                ,D49835G02                ,GLUED JAW ASSY CURVED         ,V9641P,11/5/2021,538.96,D49835,LINEA 163,PRIMER TURNO,2021-11-04,22:38:26,329716.0,2.9869,4.343,2.6145,2.2533,3.4484,2.5653
3466,4.8,3.8,2.8,3.8,3.8,4.4,2.8,V9635M,1475230.0,D39496G09                ,D49835G02                ,GLUED JAW ASSY CURVED         ,V9641P,11/5/2021,538.96,D49835,LINEA 163,PRIMER TURNO,2021-11-04,22:38:10,329715.0,3.032,4.1368,2.7591,2.2067,3.3105,2.6998
3467,4.8,3.8,2.8,3.8,3.8,4.4,2.8,V9635M,1475230.0,D39496G09                ,D49835G02                ,GLUED JAW ASSY CURVED         ,V9641P,11/5/2021,538.96,D49835,LINEA 163,PRIMER TURNO,2021-11-04,22:37:54,329714.0,2.7798,4.0614,2.5482,2.2943,3.4022,2.844
3468,4.8,3.8,2.8,3.8,3.8,4.4,2.8,V9635M,1475230.0,D39496G09                ,D49835G02                ,GLUED JAW ASSY CURVED         ,V9641P,11/5/2021,538.96,D49835,LINEA 163,PRIMER TURNO,2021-11-04,22:37:37,329713.0,2.6199,3.8197,2.6623,2.3539,3.0429,2.9588
3469,4.8,3.8,2.8,3.8,3.8,4.4,2.8,V9635M,1475230.0,D39496G09                ,D49835G02                ,GLUED JAW ASSY CURVED         ,V9641P,11/5/2021,538.96,D49835,LINEA 163,PRIMER TURNO,2021-11-04,22:37:19,329712.0,2.3738,3.7695,2.7093,2.2815,3.3173,2.9991
3470,4.8,3.8,2.8,3.8,3.8,4.4,2.8,V9635M,1475230.0,D39496G09                ,D49835G02                ,GLUED JAW ASSY CURVED         ,V9641P,11/5/2021,538.96,D49835,LINEA 163,PRIMER TURNO,2021-11-04,22:37:02,329711.0,2.5475,3.999,3.0092,2.5481,3.3091,2.5971
3471,4.8,3.8,2.8,3.8,3.8,4.4,2.8,V9635M,1475230.0,D39496G09                ,D49835G02                ,GLUED JAW ASSY CURVED         ,V9641P,11/5/2021,538.96,D49835,LINEA 163,PRIMER TURNO,2021-11-04,22:36:47,329710.0,2.6529,3.9075,2.7167,2.6924,3.2925,3.0902
3472,4.8,3.8,2.8,3.8,3.8,4.4,2.8,V9635M,1475230.0,D39496G09                ,D49835G02                ,GLUED JAW ASSY CURVED         ,V9641P,11/5/2021,538.96,D49835,LINEA 163,PRIMER TURNO,2021-11-04,22:36:32,329709.0,2.8982,4.1851,2.8444,1.9138,2.9625,2.8045
3473,4.8,3.8,2.8,3.8,3.8,4.4,2.8,V9635M,1475230.0,D39496G09                ,D49835G02                ,GLUED JAW ASSY CURVED         ,V9641P,11/5/2021,538.96,D49835,LINEA 163,PRIMER TURNO,2021-11-04,22:36:16,329708.0,2.4287,3.9341,2.7615,2.6814,3.7887,3.0761
3474,4.8,3.8,2.8,3.8,3.8,4.4,2.8,V9635M,1475230.0,D39496G09                ,D49835G02                ,GLUED JAW ASSY CURVED         ,V9641P,11/5/2021,538.96,D49835,LINEA 163,PRIMER TURNO,2021-11-04,22:36:01,329707.0,2.7715,3.9723,2.7306,2.3984,3.2883,3.0546
3475,4.8,3.8,2.8,3.8,3.8,4.4,2.8,V9635M,1475230.0,D39496G09                ,D49835G02                ,GLUED JAW ASSY CURVED         ,V9641P,11/5/2021,538.96,D49835,LINEA 163,PRIMER TURNO,2021-11-04,22:35:46,329706.0,2.7899,4.3051,2.7585,2.7723,3.5269,3.067
