SPC1__Axis__Drive_Load,SPC1__Motor__Current,SPC1__Motor__Torque,SPCS1__Axis__Drive_Load,SPCS1__Motor__Current,SPCS1__Motor__Power,SPCS1__Motor__Torque,prog
10.72184245,3.002010945,18.92592105,27.72560522,6.748315435,4154.904839,19.99817895,_N_MPF_DIR_N_YP00018578_MPF
10.90404037,3.048219364,19.23144771,25.8635976,6.317399268,3891.875914,18.76176144,_N_MPF_DIR_N_YP00018578_MPF
10.64418081,2.999273028,18.92233652,26.71681091,6.583906686,4021.568001,19.55957416,_N_MPF_DIR_N_YP00018578_MPF
11.12793962,3.129336565,19.76838211,26.49719733,6.477690309,3968.033439,19.1852065,_N_MPF_DIR_N_YP00018578_MPF
10.26608342,2.858185756,17.97140294,26.90010508,6.551310548,4041.254669,19.40033605,_N_MPF_DIR_N_YP00018578_MPF
10.11684743,2.826365694,17.82132206,26.09756154,6.381686432,3928.940192,18.91436071,_N_MPF_DIR_N_YP00018578_MPF
10.19449205,2.835961513,17.88485082,26.76404604,6.509336086,4011.284596,19.29724754,_N_MPF_DIR_N_YP00018578_MPF
10.65287664,2.935424016,18.55243689,26.10951646,6.354592043,3913.162061,18.85114401,_N_MPF_DIR_N_YP00018578_MPF
10.78774908,2.999927676,18.91704255,27.19921353,6.616433391,4073.642167,19.64507201,_N_MPF_DIR_N_YP00018578_MPF
12.36097187,3.424286536,21.59112234,13.87900493,3.376317777,2077.557324,10.47109929,_N_MPF_DIR_N_YP00018578_MPF
8.444101161,2.317266292,14.66099432,23.77175417,5.790288064,3562.449694,17.08041903,_N_MPF_DIR_N_6630091120_MPF
8.953628214,2.136489551,13.48464117,21.38406173,5.206689826,3206.741929,15.5177886,_N_MPF_DIR_N_6630091120_MPF
8.425122817,2.314572382,14.54643478,20.95894191,5.106198985,3135.844682,15.23867519,_N_MPF_DIR_N_6630091120_MPF
8.3306601,2.313942764,14.53924935,21.97340536,5.346172714,3298.542989,15.85791085,_N_MPF_DIR_N_6630091120_MPF
8.065787273,2.255893171,14.2053291,21.98948401,5.35698298,3299.382711,15.83236299,_N_MPF_DIR_N_6630091120_MPF
7.866079911,2.179491459,13.67826495,21.25374337,5.174536172,3188.886583,15.36784375,_N_MPF_DIR_N_6630091120_MPF
9.665428327,2.364186708,14.92105186,21.21194067,5.180028631,3189.014388,15.36439096,_N_MPF_DIR_N_6630091120_MPF
8.209154295,2.301805651,14.45575676,21.68016589,5.271819236,3245.724221,15.80387297,_N_MPF_DIR_N_6630091120_MPF
8.097052246,2.198031155,13.80518378,21.4414106,5.208778757,3224.926407,15.59900887,_N_MPF_DIR_N_6630091120_MPF
7.733820678,2.139637836,13.53493797,21.28242134,5.178376455,3178.385659,15.50796526,_N_MPF_DIR_N_6630091120_MPF
7.973990255,2.180276946,13.79272376,22.36129173,5.434679813,3346.662521,16.15243094,_N_MPF_DIR_N_6630091120_MPF
8.034834048,2.231117467,14.04422041,21.89498799,5.328030594,3287.990584,15.87276054,_N_MPF_DIR_N_6630091120_MPF
7.697975694,2.151291478,13.5209877,22.03440015,5.349524574,3300.113654,15.85895355,_N_MPF_DIR_N_6630091120_MPF
8.350472003,2.290658853,14.488656,22.03821612,5.357109377,3305.046939,15.86188933,_N_MPF_DIR_N_6630091120_MPF
7.976785655,2.161220253,13.60114763,22.95890291,5.602460154,3452.418414,16.55279718,_N_MPF_DIR_N_6630091120_MPF
8.383705168,2.194612322,13.86653504,21.85829348,5.30883806,3265.532227,15.80309299,_N_MPF_DIR_N_6630091120_MPF
8.114356327,2.207205214,13.9067058,21.82040609,5.309269832,3277.210634,15.88482996,_N_MPF_DIR_N_6630091120_MPF
7.841417699,2.102957911,13.31706815,21.23625069,5.166598941,3176.878851,15.28144299,_N_MPF_DIR_N_6630091120_MPF
10.62828443,2.980642769,18.73491253,21.5630195,5.252696387,3232.100881,15.60066841,_N_MPF_DIR_N_6630091120_MPF
8.300280577,2.289315857,14.35836849,21.74129485,5.305716517,3259.231915,15.68690755,_N_MPF_DIR_N_6630091120_MPF
10.98555132,3.061896307,19.30416623,22.20673002,5.388480056,3326.951418,15.93596364,_N_MPF_DIR_N_6630091120_MPF
14.87695078,3.818843235,24.13104469,21.38481693,5.190745257,3205.269004,15.30302295,_N_MPF_DIR_N_6630091120_MPF
11.05056331,2.792065237,17.54237468,22.90302872,5.574801253,3431.223934,16.53448977,_N_MPF_DIR_N_6630091120_MPF
10.16825112,2.815149301,17.83825506,22.75300842,5.548513562,3419.766251,16.42811336,_N_MPF_DIR_N_6630091120_MPF
7.674167938,2.128650453,13.38670084,22.25018615,5.411316942,3333.056876,16.05842837,_N_MPF_DIR_N_6630091120_MPF
11.91413274,3.252066138,20.37927366,22.50867293,5.494317027,3387.16853,16.27603325,_N_MPF_DIR_N_6630091120_MPF
9.65465198,2.547474253,16.0755107,22.4266909,5.461133834,3367.776946,16.14645989,_N_MPF_DIR_N_6630091120_MPF
7.949555983,2.116981675,13.3620441,22.75449204,5.538073343,3410.778645,16.43828405,_N_MPF_DIR_N_6630091120_MPF
7.861567478,2.184557866,13.76894771,22.56693122,5.488958628,3383.628736,16.18662222,_N_MPF_DIR_N_6630091120_MPF
8.416301667,2.320942596,14.6111519,22.90324925,5.581746163,3435.587634,16.38389311,_N_MPF_DIR_N_6630091120_MPF
8.323547034,2.246343439,14.13877941,22.48819119,5.488975155,3375.521766,16.19942647,_N_MPF_DIR_N_6630091120_MPF
8.200085281,2.068374135,13.01979369,22.40952683,5.455443861,3365.061034,16.13866886,_N_MPF_DIR_N_6630091120_MPF
