Timestamp,tusCoatingLine.MES.UtilizationState,predictions
2022-11-17 2:06:00,Running,Running
2022-11-17 23:58:00,Running,Running
2022-11-17 11:38:00,Running,Running
2022-11-17 4:41:00,Downtime,Downtime
2022-11-17 8:59:00,Running,Running
2022-11-17 19:44:00,Running,Running
2022-11-17 3:31:00,Running Slow,Running Slow
2022-11-17 19:16:00,Running,Running
2022-11-17 8:01:00,Running,Running
2022-11-17 20:04:00,Running Slow,Running
2022-11-17 15:13:00,Running,Running
2022-11-17 10:59:00,Running,Running
2022-11-17 11:35:00,Running,Running
2022-11-17 13:41:00,Running,Running
2022-11-17 2:29:00,Running Slow,Running Slow
2022-11-17 1:56:00,Running,Running
2022-11-17 21:56:00,Running,Running
2022-11-17 7:07:00,Running,Running
2022-11-17 17:59:00,Downtime,Downtime
2022-11-17 22:01:00,Running,Running
2022-11-17 10:11:00,Downtime,Downtime
2022-11-17 3:04:00,Running Slow,Running Slow
2022-11-17 22:31:00,Running,Running
2022-11-17 19:56:00,Running,Running
2022-11-17 7:22:00,Running,Running
2022-11-17 10:14:00,Downtime,Downtime
2022-11-17 13:06:00,Running,Running
2022-11-17 9:21:00,Running,Running
2022-11-17 6:39:00,Running,Running
2022-11-17 13:29:00,Running,Running
2022-11-17 1:50:00,Running,Running
2022-11-17 8:09:00,Running,Running
2022-11-17 7:25:00,Running,Running
2022-11-17 20:06:00,Running,Running
2022-11-17 5:44:00,Running Slow,Running Slow
2022-11-17 20:58:00,Running,Running
2022-11-17 4:07:00,Running Slow,Running Slow
2022-11-17 10:27:00,Running Slow,Running Slow
2022-11-17 1:43:00,Running,Running
2022-11-17 13:51:00,Running,Running
2022-11-17 20:11:00,Running,Running
2022-11-17 0:12:00,Running,Running
2022-11-17 10:48:00,Running,Running
2022-11-17 16:53:00,Running Slow,Downtime
2022-11-17 17:49:00,Downtime,Downtime
2022-11-17 23:37:00,Running,Running
2022-11-17 16:50:00,Running Slow,Running Slow
2022-11-17 1:46:00,Running,Running
2022-11-17 15:11:00,Running,Running
2022-11-17 14:46:00,Running,Running
2022-11-17 17:12:00,Running Slow,Running Slow
2022-11-17 14:12:00,Running,Running
2022-11-17 13:15:00,Running,Running
2022-11-17 4:04:00,Running Slow,Running Slow
2022-11-17 22:04:00,Running,Running
2022-11-17 9:04:00,Running,Running
2022-11-17 6:04:00,Running Slow,Running Slow
2022-11-17 9:03:00,Running,Running
2022-11-17 16:09:00,Running Slow,Running Slow
2022-11-17 14:49:00,Running,Running
